site_name,site,sample_name,sample,pcr1,pcr2,pcr3,pcr4,pcr5,pcr6,pcr7,pcr8
stave lake lodge,1,SLL-01A,1,1,1,1,1,1,1,1,0
stave lake lodge,1,SLL-01B,2,1,1,1,1,1,1,1,1
stave lake lodge,1,SLL-02A,3,1,1,1,1,1,1,1,0
tranquille barn,2,TB-01A,1,1,1,1,1,1,1,1,1
tranquille barn,2,TB-01B,2,1,1,1,1,1,1,1,1
tranquille barn,2,TB-01C,3,1,1,1,1,1,1,1,1
peachland attic,3,PLAT-01A,1,1,1,1,1,1,1,1,1
peachland attic,3,PLAT-01B,2,1,1,1,1,1,1,1,1
peachland attic,3,PLAT-01C,3,1,1,1,1,1,1,1,1
